,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,MaterialName,New_Volume(L),Points
49,3/7/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,1356,10
50,15/5/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,1992,10
51,27/4/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,432,10
52,13/3/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,324,10
53,24/7/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,3480,10
54,5/7/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,2424,10
55,16/5/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,140523,M10W-40(SP)SG12X1L/CAR,2580,10
56,12/7/2023,A,ERW_AMBP2020110156,Retails,ChonBuri,140523,M10W-40(SP)SG12X1L/CAR,5160,10
57,19/6/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,140523,M10W-40(SP)SG12X1L/CAR,1536,10
58,14/9/2023,A,ERW_AUOF2022100001,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,5472,10
59,6/6/2023,A,ERW_AMBP2020110370,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,8580,10
60,18/9/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,704,10
61,5/7/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,896,10
62,3/5/2023,A,ERW_AI8N2021070010,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,3360,10
63,3/4/2023,A,ERW_AMBP2020110016,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,6912,10
64,27/4/2023,A,ERW_AMBP2020110030,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,7536,10
65,30/8/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,140521,M10W-40(SP)SG4X4L/CAR,5920,10
66,27/7/2023,A,ERW_AMBP2020110050,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,7952,10
67,15/2/2023,A,ERW_AMBP2020110200,Retails,Rayong,140521,M10W-40(SP)SG4X4L/CAR,7532,10
68,18/5/2023,A,ERW_ADG22021040106,Retails,SamutPrakan,144463,M10W-40(SP)SG4X4L/CAR,7952,10
69,25/7/2023,A,ERW_AMBP2020110137,Retails,SingBuri,140521,M10W-40(SP)SG4X4L/CAR,2784,10
70,21/7/2023,A,ERW_AMBP2020110147,Retails,ChonBuri,140521,M10W-40(SP)SG4X4L/CAR,4560,10
71,2/8/2023,A,ERW_AMBP2020110523,Retails,ChonBuri,140521,M10W-40(SP)SG4X4L/CAR,1640,10
72,9/5/2023,A,ERW_AMBP2020110385,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,8060,10
73,20/6/2023,A,ERW_AMBP2020110036,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,5712,10
74,26/6/2023,A,ERW_AMBP2020110085,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,2592,10
75,24/8/2023,A,ERW_AMBP2020110124,Retails,PhraNakhonSiAyutthaya,140521,M10W-40(SP)SG4X4L/CAR,1312,10
76,13/9/2023,A,ERW_AMBP2020110156,Retails,ChonBuri,140521,M10W-40(SP)SG4X4L/CAR,1456,10
77,25/7/2023,A,ERW_AMBP2020110257,Retails,UdonThani,140521,M10W-40(SP)SG4X4L/CAR,512,10
78,10/3/2023,A,ERW_AMBP2020110340,Retails,Phetchaburi,140521,M10W-40(SP)SG4X4L/CAR,3216,10
79,17/3/2023,A,ERW_AU5N2022030006,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,6800,10
80,21/2/2023,A,ERW_ADG22021040106,Retails,SamutPrakan,140521,M10W-40(SP)SG4X4L/CAR,5936,10
81,26/6/2023,A,ERW_AMBP2020110001,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,6000,10
82,10/4/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,7728,10
83,9/6/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,6208,10
84,20/2/2023,A,ERW_AMBP2020110131,Reseller,LopBuri,140521,M10W-40(SP)SG4X4L/CAR,1648,10
85,25/4/2023,A,ERW_AMBP2020110131,Reseller,LopBuri,144463,M10W-40(SP)SG4X4L/CAR,7040,10
86,21/7/2023,A,ERW_AMBP2020110131,Reseller,LopBuri,140521,M10W-40(SP)SG4X4L/CAR,6048,10
87,6/6/2023,A,ERW_AMBP2020110370,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,1936,10
88,11/7/2023,A,ERW_AMBP2020110380,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,416,10
89,7/3/2023,A,ERW_AUOF2022100001,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,6480,10
90,15/3/2023,A,ERW_AUOF2022100001,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,3488,10
91,29/8/2023,A,ERW_A3GG2023090003,Retails,KhonKaen,140521,M10W-40(SP)SG4X4L/CAR,688,10
92,14/9/2023,A,ERW_AMBP2020110002,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,4192,10
93,28/3/2023,A,ERW_AMBP2020110006,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,784,10
94,12/5/2023,A,ERW_AMBP2020110036,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,6480,10
95,25/5/2023,A,ERW_AMBP2020110050,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,2384,10
96,22/5/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,336,10
97,15/5/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,2128,10
98,27/4/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,3232,10
99,13/7/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,5808,10
100,29/5/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,5136,10
101,11/8/2023,A,ERW_AMBP2020110380,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,7488,10
102,27/3/2023,A,ERW_AMBP2020110380,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,6432,10
103,21/9/2023,A,ERW_AMBP2020110380,Retails,Bangkok,140521,M10W-40(SP)SG4X4L/CAR,2896,10
104,23/5/2023,A,ERW_AMBP2020110402,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,4144,10
105,7/4/2023,A,ERW_AMBP2020110552,Retails,SaKaeo,140521,M10W-40(SP)SG4X4L/CAR,1872,10
106,18/7/2023,A,ERW_AUOF2022100001,Retails,Bangkok,144463,M10W-40(SP)SG4X4L/CAR,736,10
107,22/11/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,3260,10
108,13/6/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,7880,10
109,21/9/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,9540,10
110,7/6/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,2028,10
111,30/8/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,1476,10
112,25/9/2023,A,ERW_AMBP2020110042,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,540,10
113,6/12/2023,A,ERW_AI8N2021070010,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,4176,10
114,11/9/2023,A,ERW_AI8N2021070010,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,4404,10
115,17/10/2023,A,ERW_AI8N2021070010,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,4008,10
116,19/12/2023,A,ERW_AIE82023120002,Retails,NakhonPhanom,145840,M10W-40(SP)V212X1L/CAR,5892,10
117,20/11/2023,A,ERW_ALWN2023020002,Reseller,SingBuri,145840,M10W-40(SP)V212X1L/CAR,2196,10
118,19/12/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,2172,10
119,18/8/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,1092,10
120,8/9/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,5472,10
121,6/12/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,3600,10
122,21/11/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145840,M10W-40(SP)V212X1L/CAR,4716,10
123,8/8/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,4128,10
124,20/6/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,4608,10
125,20/12/2023,A,ERW_AMBP2020110380,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,5472,10
126,10/10/2023,A,ERW_AMBP2020110391,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,1392,10
127,22/11/2023,A,ERW_AUOF2022100001,Retails,Bangkok,145840,M10W-40(SP)V212X1L/CAR,2328,10
128,15/3/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,8316,10
129,23/6/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,5296,10
130,8/6/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,2848,10
131,18/7/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,3424,10
132,22/11/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,4672,10
133,21/9/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,5984,10
134,19/10/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,2720,10
135,28/11/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,6704,10
136,15/11/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,7744,10
137,19/9/2023,A,ERW_AI8N2021070010,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,3712,10
138,21/11/2023,A,ERW_AI8N2021070010,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,7216,10
139,13/3/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,7408,10
140,7/6/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,6208,10
141,8/3/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,4928,10
142,20/6/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,1424,10
143,25/9/2023,A,ERW_AMBP2020110042,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,5344,10
144,12/6/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,4544,10
145,7/6/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,2688,10
146,15/8/2023,A,ERW_AMBP2020110759,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,4592,10
147,18/8/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,6240,10
148,26/9/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,7360,10
149,27/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145841,M10W-40(SP)V24X4L/CAR,9920,10
150,21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145841,M10W-40(SP)V24X4L/CAR,1680,10
151,27/11/2023,A,ERW_AMBP2020110147,Retails,ChonBuri,145841,M10W-40(SP)V24X4L/CAR,2080,10
152,26/10/2023,A,ERW_AMBP2020110131,Reseller,LopBuri,145841,M10W-40(SP)V24X4L/CAR,4000,10
153,20/9/2023,A,ERW_AMBP2020110147,Retails,ChonBuri,145841,M10W-40(SP)V24X4L/CAR,3820,10
154,25/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145841,M10W-40(SP)V24X4L/CAR,4460,10
155,27/9/2023,A,ERW_AMBP2020110161,Retails,ChonBuri,145841,M10W-40(SP)V24X4L/CAR,6752,10
156,10/11/2023,A,ERW_AMBP2020110380,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,1456,10
157,20/11/2023,A,ERW_ALWN2023020002,Reseller,SingBuri,145841,M10W-40(SP)V24X4L/CAR,3376,10
158,16/3/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,6096,10
159,10/3/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,2944,10
160,19/10/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,7152,10
161,17/10/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,1952,10
162,6/12/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,432,10
163,8/9/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,1280,10
164,5/9/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,2224,10
165,6/12/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,5200,10
166,27/10/2023,A,ERW_AMBP2020110060,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,7520,10
167,29/11/2023,A,ERW_AMBP2020110402,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,4240,10
168,1/11/2023,A,ERW_AMBP2020110402,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,5376,10
169,25/9/2023,A,ERW_AMBP2020110427,Retails,ChonBuri,145841,M10W-40(SP)V24X4L/CAR,4560,10
170,22/11/2023,A,ERW_AUOF2022100001,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,1056,10
171,10/11/2023,A,ERW_AUOF2022100001,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,4256,10
172,26/10/2023,A,ERW_AUOF2022100001,Retails,Bangkok,145841,M10W-40(SP)V24X4L/CAR,5904,10
173,10/4/2023,D,ERW_DBG72020110021,Retails,Phatthalung,145840,M10W-40(SP)V2CTN12X1L:SG,3312,10
174,29/9/2023,D,ERW_DBG72020110038,Reseller,Phuket,145841,M10W-40(SP)V2CTN4X4L:SG,8260,10
175,29/8/2023,D,ERW_DBG72020110038,Reseller,Phuket,145841,M10W-40(SP)V2CTN4X4L:SG,3296,10
176,12/6/2023,D,ERW_DBG72020110038,Reseller,Phuket,145841,M10W-40(SP)V2CTN4X4L:SG,672,10
177,18/5/2023,D,ERW_DBG72020110038,Reseller,Phuket,145841,M10W-40(SP)V2CTN4X4L:SG,1952,10
178,29/9/2023,D,ERW_DBG72020110038,Reseller,Phuket,145841,M10W-40(SP)V2CTN4X4L:SG,2752,10
179,4/7/2023,D,ERW_DBG72020110082,Reseller,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,432,10
180,23/12/2023,D,ERW_DBG72020110082,Reseller,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,6752,10
181,3/5/2023,D,ERW_DBG72020110014,Retails,Pattani,145841,M10W-40(SP)V2CTN4X4L:SG,4288,10
182,23/9/2023,D,ERW_DBG72020110014,Retails,Pattani,145841,M10W-40(SP)V2CTN4X4L:SG,3456,10
183,10/4/2023,D,ERW_DBG72020110021,Retails,Phatthalung,145841,M10W-40(SP)V2CTN4X4L:SG,1024,10
184,7/7/2023,D,ERW_DBG72020110036,Retails,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,7072,10
185,31/5/2023,D,ERW_DBG72020110036,Retails,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,7664,10
186,5/8/2023,D,ERW_DBG72020110038,Reseller,Phuket,145841,M10W-40(SP)V2CTN4X4L:SG,384,10
187,31/8/2023,D,ERW_DBG72020110082,Reseller,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,6816,10
188,21/9/2023,D,ERW_DBG72020110082,Reseller,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,6816,10
189,9/11/2023,D,ERW_DBG72020110082,Reseller,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,688,10
190,19/9/2023,D,ERW_DBG72020110008,Retails,Trang,145841,M10W-40(SP)V2CTN4X4L:SG,7296,10
191,15/5/2023,D,ERW_DBG72020110008,Retails,Trang,145841,M10W-40(SP)V2CTN4X4L:SG,7616,10
192,11/5/2023,D,ERW_DBG72020110036,Retails,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,48,10
193,12/4/2023,D,ERW_DBG72020110036,Retails,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,7872,10
194,19/12/2023,D,ERW_DBG72020110036,Retails,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,2208,10
195,19/10/2023,D,ERW_DBG72020110037,Retails,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,5088,10
196,19/10/2023,D,ERW_DBG72020110037,Retails,Songkhla,145841,M10W-40(SP)V2CTN4X4L:SG,2576,10
197,21/11/2023,C,ERW_C08P2020090148,Retails,ChiangMai,146130,"M10W-40(SP)V2,4X4LCTN",3728,10
198,25/11/2023,C,ERW_C08P2020090121,Retails,Uttaradit,146130,"M10W-40(SP)V2,4X4LCTN",2752,10
199,10/11/2023,C,ERW_C08P2020090216,Retails,NakhonSawan,145841,"M10W-40(SP)V2,4X4LTCTN",71,10
200,17/1/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-404/4LT,3952,10
201,23/6/2023,A,ERW_AMBP2020110079,Retails,Bangkok,140521,M10W-404X4L/CAR,504,10
202,4/8/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-404X4L/CAR,1392,10
203,4/8/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-404X4L/CAR,3424,10
204,24/7/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-404X4L/CAR,2960,10
205,21/7/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-404X4L/CAR,2592,10
206,6/7/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-404X4L/CAR,128,10
207,23/5/2023,C,ERW_C08P2020090119,Reseller,Uttaradit,144462,M10W-40CTN12X1L:SG,468,10
208,24/2/2023,C,ERW_C08P2020090127,Reseller,Phrae,144462,M10W-40CTN12X1L:SG,1704,10
209,28/2/2023,D,ERW_DBG72020110037,Retails,Songkhla,140523,M10W-40CTN12X1L:SG,455,10
210,22/2/2023,D,ERW_DBG72020110082,Reseller,Songkhla,140523,M10W-40CTN12X1L:SG,2820,10
211,19/10/2023,D,ERW_DBG72020110037,Retails,Songkhla,140523,M10W-40CTN12X1L:SG,3852,10
212,29/9/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,M10W-40CTN12X1L:SG,2004,10
213,28/4/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,M10W-40CTN12X1L:SG,1344,10
214,22/2/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,M10W-40CTN12X1L:SG,4980,10
215,13/12/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,M10W-40CTN12X1L:SG,2352,10
216,9/11/2023,D,ERW_DBG72020110082,Reseller,Songkhla,140523,M10W-40CTN12X1L:SG,2916,10
217,18/7/2023,C,ERW_C08P2020090145,Retails,ChiangMai,140523,M10W-40CTN12X1L:SG,488,10
218,31/3/2023,C,ERW_C08P2020090145,Retails,ChiangMai,140523,M10W-40CTN12X1L:SG,285,10
219,22/2/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140521,M10W-40CTN4X4L:SG,6048,10
220,9/2/2023,A,ERW_AMBP2020110042,Retails,Bangkok,140521,M10W-40CTN4X4L:SG,2032,10
221,21/2/2023,A,ERW_AMBP2020110079,Retails,Bangkok,140521,M10W-40CTN4X4L:SG,11396,10
222,13/2/2023,A,ERW_AMBP2020110082,Retails,Bangkok,140521,M10W-40CTN4X4L:SG,8232,10
223,21/2/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140521,M10W-40CTN4X4L:SG,160,10
224,17/2/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140521,M10W-40CTN4X4L:SG,6860,10
225,20/2/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140521,M10W-40CTN4X4L:SG,3440,10
226,14/2/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,M10W-40CTN4X4L:SG,3968,10
